id,created_at,updated_at,slug,translation,sana_id,sana_name,is_iran
181,2026-06-12 23:33:09.309411+00,2026-06-12 23:33:09.309411+00,,"{""fa"":""ورزقان""}",5486,ورزقان,1
182,2026-06-12 23:33:09.309411+00,2026-06-12 23:33:09.309411+00,,"{""fa"":""هاديشهر""}",5487,هاديشهر,1
183,2026-06-12 23:33:09.309411+00,2026-06-12 23:33:09.309411+00,,"{""fa"":""رزن""}",5488,رزن,1
184,2026-06-12 23:33:09.309411+00,2026-06-12 23:33:09.309411+00,,"{""fa"":""ارسباران""}",5489,ارسباران,1
185,2026-06-12 23:33:09.309411+00,2026-06-12 23:33:09.309411+00,,"{""fa"":""شيراز""}",5501,شيراز,1
186,2026-06-12 23:33:09.309411+00,2026-06-12 23:33:09.309411+00,,"{""fa"":""لار""}",5552,لار,1
187,2026-06-12 23:33:09.309411+00,2026-06-12 23:33:09.309411+00,,"{""fa"":""مرودشت""}",5553,مرودشت,1
188,2026-06-12 23:33:09.309411+00,2026-06-12 23:33:09.309411+00,,"{""fa"":""نور آباد""}",5554,نور آباد,1
189,2026-06-12 23:33:09.309411+00,2026-06-12 23:33:09.309411+00,,"{""fa"":""مهر""}",5555,مهر,1
190,2026-06-12 23:33:09.309411+00,2026-06-12 23:33:09.309411+00,,"{""fa"":""آباده""}",5556,آباده,1
191,2026-06-12 23:33:09.309411+00,2026-06-12 23:33:09.309411+00,,"{""fa"":""جهرم""}",5557,جهرم,1
192,2026-06-12 23:33:09.309411+00,2026-06-12 23:33:09.309411+00,,"{""fa"":""داراب""}",5558,داراب,1
193,2026-06-12 23:33:09.309411+00,2026-06-12 23:33:09.309411+00,,"{""fa"":""فيروزآباد""}",5559,فيروزآباد,1
194,2026-06-12 23:33:09.309411+00,2026-06-12 23:33:09.309411+00,,"{""fa"":""فسا""}",5560,فسا,1
195,2026-06-12 23:33:09.309411+00,2026-06-12 23:33:09.309411+00,,"{""fa"":""كازرون""}",5561,كازرون,1
196,2026-06-12 23:33:09.309411+00,2026-06-12 23:33:09.309411+00,,"{""fa"":""بوانات""}",5562,بوانات,1
